Product,产品
ID,ID
SKU,SKU
Apply,应用
No,否
Yes,是
Web Site,网站
Status,状态
Save and Continue Edit,保存并继续编辑
Type,类型
Description,描述
From,从
To,至
Catalog,分类
Actions,操作
Rule,规则名称
Start on,开始日
End on,过期日
Active,活动
This rule no longer exists.,该规则已不存在。
General Information,常规信息
Websites,网站
Attribute Set,属性集
Apply Rules,应用规则
Catalog Price Rules,分类价格规则
Add New Rule,添加新规则
Save and Apply,保存并应用
Edit Rule '%1',标记规则 '%1'
New Rule,新规则
Rule Information,规则信息
Update Prices Using the Following Information,使用下列信息更新价格
By Percentage of the Original Price,原始价格的百分率
By Fixed Amount,固定额度
To Percentage of the Original Price,到原始价格的百分率
To Fixed Amount,固定额度
Discount Amount,折扣金额
Enable Discount to Subproducts,为附属产品启用折扣
Stop Further Rules Processing,停止进一步的规则处理
Conditions,条件
Conditions (leave blank for all products),条件（用于全部产品时留空）
Rule Name,规则名称
Inactive,未激活
Customer Groups,客户组
From Date,来自日期
To Date,截止日期
Priority,优先级
Catalog Price Rule,目录价格规则
Promotions,促销
Promo,促销
New Catalog Price Rule,新目录价格规则
Edit Rule,修改规则
Wrong rule specified.,所指定规则有误。
The rule has been saved.,规则已保存。
An error occurred while saving the rule data. Please review the log and try again.,当保存规则数据时发生错误。请查看日志并重试。
The rule has been deleted.,规则已删除。
An error occurred while deleting the rule. Please review the log and try again.,当删除规则时发生错误。请检查日志并重试。
Unable to find a rule to delete.,无法查找要删除的规则。
Unable to apply rules.,无法应用规则。
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.",存在已更改但未应用的规则。请单击“应用规则”以立即查看目录中应用的效果。
"%1 Catalog Price Rules based on ""%2"" attribute have been disabled.",%1 根据目录价格规则 %2 属性已被禁用
Update the Product,更新商品
Rule price,价格规则
To Fixed Value,为固定值
To Percentage,为百分比
By Fixed value,按固定值
By Percentage,按百分比
Update product's %1 %2: %3,更新产品的 %1 %2: %3
Conditions Combination,条件组合
Product Attribute,产品属性
The rules have been applied.,规则已应用。
Marketing, 流量
operate, 运营
End,结束
Redirect Type,重定向类型
Default Store View,默认商店界面
Main Website Store,总网站商店
