Reset,重置
System,系统
Import,导入
Save Currency Rates,保存货币汇率
Manage Currency Rates,管理汇率
Import Service,导入服务
Save Currency Symbols,保存货币符号
Currency Symbols,货币符号
Use Standard,使用标准
Currency Rates,货币汇率
Please specify a correct Import Service.,请指定一个正确的导入服务
We can't initialize the import model.,我们无法初始化导入模板
"All possible rates were fetched, please click on ""Save"" to apply","已获取所有可能的汇率，请点击""Save""申请"
"All rates were fetched, please click on ""Save"" to apply","已获取所有汇率，请点击""Save""申请"
Please correct the input data for %1 => %2 rate,请纠正输入数据 %1 => %2 汇率
All valid rates have been saved.,所有有效汇率都已保存
The custom currency symbols were applied.,使用自定义货币符号
Currency,货币
Symbol,符号
Old rate:,旧汇率:
