--Please Select--,"""--请选择--"""
Enabled,启用
label,标签
State/Province,州/省
Continue,继续
We can't initialize the import model.,我们不能初始化导入模板.
Currency,币种
Please correct the target currency.,请更正目标货币.
"Undefined rate from ""%1-%2"".","未定义率从""%1-%2"""
We can't retrieve a rate from %1.,我们不能检索 %1的费率.
FATAL ERROR:,致命错误：
Please specify the correct Import Service.,请指定正确的导入服务.
WARNING:,警告：
Please correct the country code: %1.,请更正国家代码: %1.
Country and Format Type combination should be unique,国家和格式类型的组合必须是唯一的
Please correct the rates received,请纠正收到的费率
--Please select--,"""--请选择--"""
Your current currency is: %1.,您当前的货币是: %1.
Start Time,开始时间
Frequency,频率
Currency Setup,货币设置
Currency Options,货币选项
Base Currency,基准货币
"
                        Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    ","
                      基准货币用于所有在线支付交易. 如果您有多个商店界面，目录价格范围定义基本货币范围(""目录"" > ""价格"" > ""目录价格范围"").
                    "
Default Display Currency,默认显示货币
Allowed Currencies,允许币种
Webservicex,Webservicex
Connection Timeout in Seconds,以秒为单位的连接超时
Scheduled Import Settings,计划导入设置
Error Email Recipient,错误邮件收件人
Error Email Sender,错误邮件发件人
Error Email Template,错误邮件模板
Service,服务
Installed Currencies,已安装的货币
Zip/Postal Code is Optional for,邮政编码是可选的
State Options,州选项
State is Required for,州是必填的
Allow to Choose State if It is Optional for Country,如果是可选的国家允许选择州
