Subtotal,小计
Discount,折扣
Grand Total,总计
Tax,传真
Shipping,运送
Store Credit,店铺信用
An item option with code %1 already exists.,具有代码%1的产品选项已存在
Discount (%1),折扣 (%1)
Shipping & Handling,运费和手续费
"Sorry, but items with payment agreements must be ordered one at a time To continue, please remove or buy the other items in your cart, then order this item by itself.",对不起，有付款协议的产品必须一次订购。 若要继续， 请删除或者购买购物车种的其他产品，在单独订购这个产品
We found an invalid request for adding product to quote.,我们发现了一个无效的请求添加产品报价
This is the wrong quote item id to update configuration.,用于更新设置的报价产品ID是错误的.
"This shipping method is not available. To use this shipping method, please contact us.",该运送方式不存在. 要使用该运送方式， 请联系我们
The address model is not defined.,地址模型没有定义。
The address total model should be extended from \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.,地址总模块应扩展自\Magento\Quote\Model\Quote\Address\Total\AbstractTotal。
Subscription Items,预定产品
Regular Payment,正常支付
Shipping & Handling (%1),运送及处理(%1)
We found an invalid item option format.,我们发现了一个无效的项目选项格式。
Item qty declaration error,产品数量申报错误
Some of the products below do not have all the required options.,以下的一些产品不具备所需选项
Something went wrong during the item options declaration.,产品选项申报出现错误
We found an item options declaration error.,我们发现产品选项申报错误
Some of the selected options are not currently available.,一些已选选项当前不可用
Selected option(s) or their combination is not currently available.,已选选项或其组合当前不可用
Some item options or their combination are not currently available.,一些产品选项或其组合当前不可用
The requested Payment Method is not available.,请求的支付方式不可用。
Please check the shipping address information. %1,请查看收货地址信息. %1
Please specify a shipping method.,请指定一个配送方法。
Please check the billing address information. %1,请查看账单地址信息. %1
Please select a valid payment method.,请选择有效的支付方式。
