Remove,移除
Close,关闭
Delete File,删除文件
-- Please Select --,-- 请选择 --
General,基本
Save and Continue Edit,保存并继续编辑
About the calendar,关于日历
Go Today,转到今天
Previous,上一个
Next,下一个
WK,WK
Time,事件
Hour,小时
Minute,分钟
per page,每页
Page,页面
label,标签
Empty,空
Close Window,关闭窗口
%1 Item,%1 产品
%1 Item(s),%1 产品
Show,显示
Media Storage,多媒体储存
Delete Folder,删除文件夹
Insert File,插入文件
New Folder Name:,新文件夹名:
Are you sure you want to delete this folder?,您确定要删除此文件夹吗？
Are you sure you want to delete this file?,您确定要删除此文件吗？
Storage Root,储存根
We cannot upload the file.,无法上传此文件
We cannot delete root directory %1.,我们不能删除根目录 %1.
Theme,网站模板
Custom CSS,自定义 CSS
Select JS Files to Upload,选择要上传的JS 文件
Header,页眉
Are you sure you want to delete this theme?,您确定要删除此网站模板吗？
"Sorry, there was an unknown error.",对不起，存在未知错误
We cannot upload the CSS file.,无法上传 CSS 文件
We cannot upload the JS file.,无法上传JS 文件
Browse Files,查看文件
Create Folder,创建文件夹
Report All Bugs,报告所有Bug
(ver. %1),(ver. %1)
"Welcome, %1!","欢迎, %1!"
Add New Theme,添加新网站模板
Themes,网站模板
Theme: %1,网站模板: %1
New Theme,新网站模板
Theme CSS,网站模板 CSS
Theme CSS Assets,网站模板CSS资产
Select CSS File to Upload,选择要上传的CSS文件
Upload CSS File,上传CSS文件
Download CSS File,下载CSS文件
Manage,管理
Upload Images,上传图片
Images Assets,图片资产
Upload Fonts,上传字体
Fonts Assets,字体资产
Edit custom.css,编辑自定义.css
Allowed file types *.css.,允许文件类型 *.css.
This file will replace the current custom.css file and can't be more than 2 MB.,该文件将取代目前的Custom.css文件且不能超过2 MB。
Max file size to upload %1M,最大的上传文件尺寸 %1M
Something is wrong with the file upload settings.,文件上传设置出错
CSS Editor,CSS 编辑器
Theme Settings,网站模板设置
Parent Theme,上级（父）网站模板
Theme Path,网站模板路径
Theme Version,网站模板版本
Example: 0.0.0.1 or 123.1.0.25-alpha1,例如: 0.0.0.1 或 123.1.0.25-alpha1
Theme Title,网站模板标题
Theme Preview Image,网站模板预览图像
Copy of %1,%1的副本
Max image size %1M,最大图片尺寸 %1M
Theme JavaScript,网站模板 JavaScript
Upload JS Files,上传JS文件
JS Editor,JS 编辑器
Allowed file types *.js.,允许文件类型 *.js.
"We cannot find theme ""%1"".","无法找到网站模板 ""%1""."
We cannot find the theme.,无法找到该网站模板
Theme isn't editable.,网站模板不可编辑。
You saved the theme.,您已保存该网站模板
You deleted the theme.,您已删除网站模板
We cannot delete the theme.,不能删除网站模板
"We cannot find a theme with id ""%1"".","找不到 id ""%1""的网站模板"
We cannot find file,找不到文件
"File not found: ""%1"".","找不到文件: ""%1""."
The CSS file must be less than %1M.,CSS文件必须小于 %1M.
The JS file must be less than %1M.,JS文件必须小于 %1M.
"Use only standard alphanumeric, dashes and underscores.",只使用标准的数字，破折号和下划线.
We found a directory with the same name.,我们找到一个同名目录
We cannot find a directory with this name.,我们无法找到这个名称的目录。
We found no files.,未发现文件
Help Us to Keep Magento Healthy,帮助我们保证Magento的健康
Toggle Nav,Toggle Nav
JavaScript seems to be disabled in your browser.,你的浏览器似乎禁用了 JavaScript。
Enable JavaScript in your browser to get the best experience on our website!,在您的浏览器上激活JavaScript，从而在我们网站上有更好地体验
Local Storage seems to be disabled in your browser.,本地存储似乎在浏览器中禁用。
Enable Local Storage in your browser to get the best experience on our website!,在您的浏览器上启动本地存储，从而在我们网站上有更好地体验
This is demo store. All orders will not be transferred.,这是演示商店。所有订单将不会被转化
We use cookies to make your experience better.,我们使用cookies让您有更好地体验
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","为了符合新的电子隐私指令, 我们需要征得您同意去设置cookies"
"<a href=""%1"">Learn more</a>.","<a href=""%1"">了解更多</a>."
Allow Cookies,允许 Cookies
Items %1 to %2 of %3 total,产品 %1到%2，共%3件
You're currently reading page,您阅读的当前页
We don't recognize this file extension.,无法识别文件扩展名
We cannot detect a size.,无法检测大小.
Logo Image,Logo 图片
Logo Image Alt,Logo 替代文字
HTML Head,HTML 头信息
Favicon Icon,Favicon Icon
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","允许的文件类型：ICO, PNG, GIF, JPEG, APNG, SVG. 不是所有的浏览器支持这些格式！"
Default Title,默认标题
Title Prefix,标题前缀
Title Suffix,标题后缀
Default Description,默认描述
Default Keywords,默认关键字
Miscellaneous Scripts,各种脚本
This will be included before head closing tag in page HTML.,里输入的将包含在页面HTML头标签之前
Display Demo Store Notice,展示演示店铺提示
Search Engine Robots,搜索引擎机器人
Default Robots,默认机器人设置
Edit custom instruction of robots.txt File,编辑自定义指定的 robots.txt文件
Reset to Defaults,设置为默认
This action will delete your custom instructions and reset robots.txt file to system's default settings.,此操作将删除您的自定义指令并重置robots.txt文件为系统默认设置。
Welcome Text,欢迎文本
Footer,页脚
Copyright,版权
Miscellaneous HTML,自定义 HTML
This will be displayed just before body closing tag.,在这里输入的将被显示在主体之前
Default welcome msg!,默认欢迎信息！
&copy; 2015 Magento Demo Store. All Rights Reserved.,&副本; 2015 Magento 演示店铺. 保留所有权利。
1 column,1栏
2 columns with left bar,2栏带左边栏
2 columns with right bar,2栏带右边栏
3 columns,3栏
Skip to content,跳到内容
"Invalid regular expression: ""%1"".","无效的正则表达式: ""%1""."
Start date cannot be greater than end date.,开始日期不能大于结束日期。
"Your design change for the specified store intersects with another one, please specify another date range.",您对指定商店设计的更改和另一个有交叉，请重新指定日期范围。
Copy,复制
"Circular-reference in theme inheritance detected for ""%1""",为%1检测网站模板继承的循环引用
This is demo store. No orders will be fulfilled.,演示站点，所有订单不会发货
