Insert Widget...,加入部件...
No records found.,未找到记录.
Recent items,最近开启项目
Show all...,显示全部...
Method ,方式
Please wait...,请稍候…
Loading...,加载中...
Cancel,取消
Save,保存
Translate,翻译
Submit,提交
Close,关闭
Please enter a value less than or equal to %s.,请输入一个小于或等于%s的值
Please enter a value greater than or equal to %s.,请输入一个大于或等于%s的值
Maximum length of this field must be equal or less than %1 symbols.,这个字段的最大长度必须等于或小于% 1符号。
This is a required field.,此栏不能为空
Please enter a valid year (1900-%1).,请输入正确的年份 (1900-%d)
Please enter a valid day (1-%1).,请输入一个正确的天数 (1-%1)
Please enter a date in the past.,请输入过去的一个日期
Please enter a date between %min and %max.,请在%min和%max之间输入一个日期。
